,片名,導演,主演
0,鹭世界,['孙宁'],['纪录片']
1,站住！小偷,['郑云'],"['郑云', '梁小龙', '尤勇', '吴启华', '王双宝', '方青卓', '李彩桦', '书亚信']"
2,野猪,['野猪 泓'],"['王轩堃', '侯桐江', '刘东明', '闫昌', '胡刚']"
3,蕃薯浇米,['叶谦'],"['归亚蕾', '杨贵媚', '班铁翔']"
4,致敬英雄,['刘柏橘'],"['温玉娟', '张山', '郑昊', '李星昊', '张晞临']"
5,狐踪谍影,['孙树培'],"['黄圣依', '徐佳', '曾志伟', '谢九儿', '李子雄', '余男']"
6,那人那事,['冯嘉龙'],"['姚成金', '陈雪铫', '李建忠', '纪振斌', '刘红亮']"
7,武圣关公,"['蔡志忠', '母一辉']",['动画片']
8,动物特工局,"['张志一', '纪约姆·伊弗奈']",['动画片']
9,守望人,"['靖军', '姬鹏']","['在帝', '兰卡初', '扎西邓珠', '仁青娜姆']"
10,士兵顺溜：兵王争锋,['卢德响'],['动画片']
11,第一次的离别 ,['王丽娜'],"['艾萨·亚森', '凯丽比努尔·热合米图力']"
12,致命复活,['杨乐'],"['闫文君', '徐绍泽', '沈文君', '沈语眉']"
13,抵达之谜,['宋文'],"['李现', '董博睿', '顾璇']"
14,白云之下,['王瑞'],"['塔娜', '吉日木图', '艾丽娅', '涂们']"
15,妙先生,['李凌霄'],['动画片']
16,呆瓜兄弟,"['刘志广 ', '舒畅']",['动画片']
17,十三猎杀,['李斌'],"['谷尚蔚', '汤嬿', '涩谷天马']"
18,爱是一场温柔的幻觉,['马臻'],"['朱圣祎', '黄艺馨']"
19,旺扎的雨靴,['拉华加'],"['周拉多杰', '金巴', '才多', '东主才郎']"
20,无辜囚徒,['姚婷婷'],"['童苡萱', '史元庭']"
21,带你归家,['裘孝国'],"['张志忠', '迟蓬']"
22,李畋传奇,['裘孝国'],"['张旸', '乔牧心', '孙晨曦']"
23,天下无毒,['谭鑫铭'],"['刘之冰', '奚望', '胡建林', '茹萍']"
24,禹神传之王者少年,['李金保'],['动画片']
25,再见，陌生人,['唐煌'],['吴启华']
26,信念一生,['寇淼'],"['苏国涛', '梁丽', '刘亚津']"
27,八佰,['管虎'],"['欧豪', '杜淳', '黄志忠', '张俊一', '张承', '王千源', '姜武', '张译', '张宥浩', '魏晨', '李晨', '余皑磊', '俞灏明', '郑恺']"
28,北平会馆,['李路'],"['吴大可', '朱梓瑜', '刘亦彤']"
29,追梦险途 ,"['陈均成', '郑民强']","['王静', '王同辉', '罗旖凡', '陈奕好']"
30,我在时间尽头等你,['姚婷婷'],"['李鸿其', '李一桐', '范伟', '张超']"
31,荞麦疯长,['徐展雄'],"['马思纯', '钟楚曦', '黄景瑜', '王砚辉', '王阳明', '辛鹏', '李解']"
32,梅艳芳菲,"['高志森', '梁柏豪']","['胡杏儿', '郭羡妮', '林德信', '方惠盈', '黄容杰', '曾江', '吴耀汉', '邵音音']"
33,活着唱着,['马楠'],"['赵小利', '甘贵丹']"
34,无疯也起浪,['李智'],"['王成思', '陶亮', '冯秦川']"
35,谁说我们不会爱2,['刘宝贤'],"['王栎鑫', '潘时七', '邹柏呈', '骆应钧']"
36,阿里巴巴与神灯,['朱葛'],['动画片']
37,新愚公移山,[],['动画片']
38,我的女友是机器人,['王韦程'],"['包贝尔', '辛芷蕾']"
39,芙蓉渡,['周琦'],"['王嘉', '李君峰', '李华', '袁志顺']"
40,关机,"['郭昊明', '陈希']","['何杜娟', '刘岳', '张颂文']"
41,麦路人,['黄庆勋'],"['郭富城', '杨千嬅', '万梓良', '张达明', '刘雅瑟', '鲍起静', '顾定轩']"
42,通往春天的列车,['李骥'],"['李岷城', '任素汐']"
43,蓝色防线,"['尚昌仪', '周德新', '刘欣']",['纪录片']
44,夺冠,['陈可辛'],"['巩俐', '黄渤', '吴刚', '彭昱畅']"
45,急先锋,['唐季礼'],"['成龙', '杨洋', '艾伦', '徐若晗', '母其弥雅', '朱正廷']"
46,我和我的家乡,"['宁浩', '徐峥', '陈思诚', '闫非', '彭大魔', '邓超', '俞白眉']",['群星']
47,姜子牙,"['程腾', '李炜']",['动画片']
48,木兰：横空出世,['廖光华'],['动画片']
49,一点就到家,['许宏宇'],"['刘昊然', '彭昱畅', '尹昉']"
50,再见吧！少年,['林子平'],"['刘敏涛', '荣梓杉', '谭凯']"
51,云做的翅膀,['蓝天'],"['肖翔跃', '三江锅', '谢轶泽']"
52,天道王,['苑本立'],"['巩峥', '陶红']"
53,四年二班,['李依彤'],"['李心心', '宋洋', '常凯宁']"
54,82号古宅,['袁杰'],"['葛天', '扈天翼', '黄心娣']"
55,父子拳王,[],"['郑人硕', '于荣光', '金晨', '刘俊孝']"
56,喜宝,['王丹阳'],"['郭采洁', '张国柱']"
57,罗非是条鱼,['周翀'],"['李奕娴', '陈楚翰']"
58,一丈天地,['邓国庆'],"['陈亮', '陈淋', '池丹']"
59,掬水月在手,['陈传兴'],['纪录片']
