,片名,導演,主演
0,小破孩大状元,"['拾荒', '郑成峰']",['动画片']
1,无地自容,['张春光'],"['刘其元', '吴晓晨']"
2,长安伏妖,"['王凯', '李力持']","['保剑锋', '克拉拉', '孙耀威', '贾冰', '迟帅', '吴孟达', '徐冬冬', '罗家英', '李子雄', '周韦彤']"
3,海底小纵队：火焰之环,"['布莱尔·西蒙斯', '周沁']",['动画片']
4,歌带你回家,['谢亮宏'],"['李品', '罗湘晋', '张捷', '周婷婷']"
5,如梦晋阳,['吴军'],"['吉丽', '张哲人', '李荣东', '董祁明']"
6,缉魂,['程伟豪'],"['张震', '张钧甯', '孙安可', '李铭顺', '张柏嘉']"
7,京北的我们,['李明'],"['陈梓豪', '田娜', '孙飞翔', '王梓']"
8,老爷保号,['高峰'],"['蔡乐', '洪一可', '许淳玮']"
9,没有过不去的年,['尹力'],"['吴刚', '吴彦姝', '江珊', '郭涛', '林永健', '丁嘉丽']"
10,点点星光,"['谢德炬', '黄展昌']","['朱英瑞', '钟炜锋', '李荣欢', '李荣乐']"
11,叱咤风云,['陈奕先'],"['昆凌', '曹佑宁', '周杰伦', '范逸臣', '柯有伦', '高英轩', '林庆台', '许慧欣', '林暐恒', '王俊凯', '刘畊宏', '陈欣健', '孙协志', '李玉玺']"
12,山路十八湾,['凌学松'],"['郭秋成', '李彦萱', '高星豪', '宋沐心']"
13,小伟,['黄梓'],"['彭杏英', '薛立贤', '高翰文']"
14,幸运电梯,['晏菲'],"['刘亭作', '宋梓侨']"
15,爱遍全球,['邓炽垣'],"['梁昊东', '徐丹', '梅子健']"
16,大红包,['李克龙'],"['包贝尔', '克拉拉', '张一鸣', '贾冰', '赵毅新', '王小利', '岳跃利']"
17,武汉日夜,['曹金玲'],['纪录片']
18,魔法鼠乐园,"['曾文丽', '王辉']",['动画片']
19,移情高手,['郑来志'],"['王智', '高晓攀', '于莎莎', '衣云鹤', '黄奕', '迟帅', '吕颂贤', '颜丹晨', '克拉拉']"
20,吉祥如意,['大鹏'],"['王吉祥', '大鹏', '刘陆']"
21,出手吧！女生,"['肯尼·盖奇', '德文·唐斯']","['陶奕希', '释小松', '陈国坤', '陈信喆']"
22,卸甲归来,"['杜修斌', '郭虎']","['吕良伟', '元彪', '徐冬冬', '周海媚']"
23,唐人街探案3,['陈思诚'],"['王宝强', '刘昊然', '妻夫木聪', '托尼·贾', '长泽雅美', '染谷将太', '铃木保奈美', '浅野忠信', '三浦友和', '尚语贤', '肖央', '张子枫']"
24,刺杀小说家,['路阳'],"['雷佳音', '杨幂', '董子健', '于和伟', '郭京飞', '佟丽娅', '董洁']"
25,侍神令,['李蔚然'],"['陈坤', '周迅', '陈伟霆', '屈楚萧', '王丽坤', '沈月', '王紫璇']"
